address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
320 Northern Blvd,risotto-albany,"['Mediterranean', 'Italian', 'Breakfast & Brunch']",https://s3-media4.fl.yelpcdn.com/bphoto/PD01stMUDw7ABaS1JuQkVg/ls.jpg,Risotto,118.0,$$,4.0,https://www.yelp.com/biz/risotto-albany?osq=restaurants
19 Quackenbush Square,albany-pump-station-at-c-h-evans-brewing-co-albany-2,"['Breweries', 'American Traditional']",https://s3-media4.fl.yelpcdn.com/bphoto/ihffVTV5uoqrFioIpfm6Lg/ls.jpg,Albany Pump Station At C H Evans Brewing Co,460.0,$$,3.5,https://www.yelp.com/biz/albany-pump-station-at-c-h-evans-brewing-co-albany-2?osq=restaurants
4-6 Sheridan Ave,ama-cocina-albany,"['Bars', 'Tacos']",https://s3-media1.fl.yelpcdn.com/bphoto/iSBXWmC8OJF8I_2aXGg34Q/ls.jpg,Ama Cocina,348.0,$$,3.5,https://www.yelp.com/biz/ama-cocina-albany?osq=restaurants
1619 Central Ave,hus-house-albany,['Shanghainese'],https://s3-media2.fl.yelpcdn.com/bphoto/y_uU1Jog5deF64EEv76zmQ/ls.jpg,Huâs House,84.0,$$,4.0,https://www.yelp.com/biz/hus-house-albany?osq=restaurants
1470 Western Ave,black-and-blue-steak-and-crab-albany,"['Seafood', 'Steakhouses', 'Bars']",https://s3-media1.fl.yelpcdn.com/bphoto/_nxRRtrwu5AAPUOntxqF7w/ls.jpg,Black and Blue Steak and Crab,217.0,$$$,3.5,https://www.yelp.com/biz/black-and-blue-steak-and-crab-albany?osq=restaurants
540 Delaware Ave,the-cheese-traveler-albany,"['Cheese Shops', 'Sandwiches', 'Beer, Wine & Spirits']",https://s3-media4.fl.yelpcdn.com/bphoto/4yxn6BOgg-Ccagj8g0qC3Q/ls.jpg,The Cheese Traveler,153.0,$$,5.0,https://www.yelp.com/biz/the-cheese-traveler-albany?osq=restaurants
662 Central Ave,caffe-italia-albany,['Italian'],https://s3-media1.fl.yelpcdn.com/bphoto/TnGFODT1QRBIDwBDUOOfeA/ls.jpg,Caffe Italia,83.0,$$$,4.5,https://www.yelp.com/biz/caffe-italia-albany?osq=restaurants
299 Central Ave,fairy-sichuan-albany-2,['Szechuan'],https://s3-media1.fl.yelpcdn.com/bphoto/GmPkeZcEUVCjcy3hrQKChw/ls.jpg,Fairy Sichuan,35.0,,4.5,https://www.yelp.com/biz/fairy-sichuan-albany-2?osq=restaurants
269 Osborne Rd,d-raymonds-albany-2,"['Italian', 'Seafood']",https://s3-media4.fl.yelpcdn.com/bphoto/gUD-6uKzC5MYpzMHuv2nhw/ls.jpg,DâRaymonds,180.0,$$,4.0,https://www.yelp.com/biz/d-raymonds-albany-2?osq=restaurants
198 Central Ave,el-patron-mexican-grill-and-cantina-albany,['Mexican'],https://s3-media3.fl.yelpcdn.com/bphoto/Hjq9VcyMHUa55CJuPZgTxA/ls.jpg,El Patron Mexican Grill & Cantina,131.0,$$,4.0,https://www.yelp.com/biz/el-patron-mexican-grill-and-cantina-albany?osq=restaurants
