address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
904 Broadway,graneys-stout-albany,"['Pubs', 'American (Traditional)']",https://s3-media1.fl.yelpcdn.com/bphoto/2gezq4Dz_gO6kzgKcJ8TPw/ls.jpg,Graney’s Stout,59.0,$$,2.5,https://www.yelp.com/biz/graneys-stout-albany?osq=beer
507 Yates St,casey-finns-pub-grill-albany,"['Pubs', 'American (New)']",https://s3-media3.fl.yelpcdn.com/bphoto/HuZids5Dfv_PyvcD0WKTgQ/ls.jpg,Casey Finn’s Pub $ Grill,6.0,$,4.0,https://www.yelp.com/biz/casey-finns-pub-grill-albany?osq=beer
606 3rd Ave,patricks-pub-watervliet,['Pubs'],https://s3-media4.fl.yelpcdn.com/bphoto/HoErregs4K0Choqo8mRrPw/ls.jpg,Patrick’s Pub,9.0,$,4.5,https://www.yelp.com/biz/patricks-pub-watervliet?osq=beer
318 Delaware Ave,o-slatterys-irish-restaurant-and-pub-delmar,"['Irish', 'Pubs', 'Music Venues']",https://s3-media2.fl.yelpcdn.com/bphoto/s4eKLmIrbbRhxbwOgkNI_A/ls.jpg,O’Slattery’s Irish Restaurant & Pub,68.0,$$,3.5,https://www.yelp.com/biz/o-slatterys-irish-restaurant-and-pub-delmar?osq=beer
320 Northern Blvd,ships-pub-albany,"['American (Traditional)', 'Pubs']",https://s3-media1.fl.yelpcdn.com/bphoto/BNOCaangzjLhpQmV3M1IiQ/ls.jpg,Ship’s Pub,29.0,$$,3.5,https://www.yelp.com/biz/ships-pub-albany?osq=beer
41 Broad St,the-angry-penguin-waterford,['Pubs'],https://s3-media2.fl.yelpcdn.com/bphoto/-us5iVE8vrHyRpoCpCGDDQ/ls.jpg,The Angry Penguin,11.0,$,4.0,https://www.yelp.com/biz/the-angry-penguin-waterford?osq=beer
30 Mill Rd,otis-and-olivers-latham,"['American (New)', 'Pubs']",https://s3-media2.fl.yelpcdn.com/bphoto/L1h8JS3fUFRPgAZKceF-Og/ls.jpg,Otis & Oliver’s,44.0,$$,4.0,https://www.yelp.com/biz/otis-and-olivers-latham?osq=beer
1145 Central Ave,wheelers-albany-2,['Beer Bar'],https://s3-media1.fl.yelpcdn.com/assets/srv0/yelp_styleguide/4f30aa60678e/assets/img/default_avatars/business_large_square.png,wheelers,1.0,,1.0,https://www.yelp.com/biz/wheelers-albany-2?osq=beer
912 McClellan St,the-horses-lounge-schenectady,"['Pubs', 'American (Traditional)', 'Tapas Bars']",https://s3-media2.fl.yelpcdn.com/bphoto/OIL5vmLHOkOE35FhbcW3zQ/ls.jpg,The Horses Lounge,16.0,$$,4.0,https://www.yelp.com/biz/the-horses-lounge-schenectady?osq=beer
20 N Broadway,20-north-broadway-tavern-schenectady,"['Pubs', 'Burgers', 'Chicken Wings']",https://s3-media1.fl.yelpcdn.com/bphoto/AHyVVbL8_xlMvyKVoTqsOw/ls.jpg,20 North Broadway Tavern,107.0,$$,4.5,https://www.yelp.com/biz/20-north-broadway-tavern-schenectady?osq=beer
367 Delaware Ave,swiftys-restaurant-and-pub-delmar,"['Irish', 'American (Traditional)', 'Pubs']",https://s3-media3.fl.yelpcdn.com/bphoto/iiylqWHsyz_YrVxEgf3WaQ/ls.jpg,Swifty’s Restaurant & Pub,85.0,$$,3.5,https://www.yelp.com/biz/swiftys-restaurant-and-pub-delmar?osq=beer
795 3rd Ave,arsenal-city-tavern-watervliet,"['Pubs', 'Burgers', 'American (New)']",https://s3-media1.fl.yelpcdn.com/bphoto/235KOAg-BcD9HskcR8p7iw/ls.jpg,Arsenal City Tavern,26.0,$,4.0,https://www.yelp.com/biz/arsenal-city-tavern-watervliet?osq=beer
50 N Jay St,hunters-on-jay-schenectady,['Pubs'],https://s3-media4.fl.yelpcdn.com/bphoto/Guz4zrDg-Lwx4fK3E6q0xg/ls.jpg,Hunter’s On Jay,8.0,$$,5.0,https://www.yelp.com/biz/hunters-on-jay-schenectady?osq=beer
62 Vandenburgh Ave,tipsy-moose-troy,"['Pubs', 'American (Traditional)']",https://s3-media1.fl.yelpcdn.com/bphoto/4ednXXuF9D0CNXh-KX7wTg/ls.jpg,Tipsy Moose,35.0,,3.0,https://www.yelp.com/biz/tipsy-moose-troy?osq=beer
16 Thatcher St,thatcher-st-pub-albany,['Pubs'],https://s3-media2.fl.yelpcdn.com/bphoto/I-KwWIb8RvcwHLXMYsoXow/ls.jpg,Thatcher St Pub,6.0,$,3.0,https://www.yelp.com/biz/thatcher-st-pub-albany?osq=beer
441 State St,nicos-rooftop-tavern-schenectady,"['Pizza', 'Pubs', 'Sports Bars']",https://s3-media3.fl.yelpcdn.com/bphoto/_O3uzgqwddf9YlgfsOaCnw/ls.jpg,Nico’s Rooftop Tavern,33.0,$$,3.0,https://www.yelp.com/biz/nicos-rooftop-tavern-schenectady?osq=beer
275 New Scotland Ave,graneys-bar-and-grill-albany,"['Pizza', 'Pubs', 'Sports Bars']",https://s3-media4.fl.yelpcdn.com/bphoto/wQHJCIHEt9cq0F1xBHr0XQ/ls.jpg,Graney’s Bar & Grill,53.0,$$,3.0,https://www.yelp.com/biz/graneys-bar-and-grill-albany?osq=beer
121 Wall St,katie-o-byrnes-schenectady,"['Irish', 'Pubs']",https://s3-media3.fl.yelpcdn.com/bphoto/jNNgpMwJRfEv275fwlXAzw/ls.jpg,Katie O’Byrne’s,97.0,$$,4.0,https://www.yelp.com/biz/katie-o-byrnes-schenectady?osq=beer
308 Union St,centre-street-pub-schenectady,"['Beer Gardens', 'Gastropubs']",https://s3-media4.fl.yelpcdn.com/bphoto/6_WOrPNBvgCrbWerLrLTRQ/ls.jpg,Centre Street Pub,78.0,$$,3.0,https://www.yelp.com/biz/centre-street-pub-schenectady?osq=beer
1018 Keyes Ave,city-squire-ale-house-schenectady,['Gastropubs'],https://s3-media3.fl.yelpcdn.com/bphoto/6Z_1En9SvxcKhe-eWJ3ZrQ/ls.jpg,City Squire Ale House,51.0,$$,3.0,https://www.yelp.com/biz/city-squire-ale-house-schenectady?osq=beer
310 19th St,the-black-bear-inn-watervliet,"['Sports Bars', 'Pubs']",https://s3-media1.fl.yelpcdn.com/bphoto/1IaOYdsIhCFPcvj_AKczwg/ls.jpg,The Black Bear Inn,33.0,$,4.0,https://www.yelp.com/biz/the-black-bear-inn-watervliet?osq=beer
