address,biz_id,category,image_shown,name,num_reviews,price_range,star_rating,url
1 Metro Park Rd,Romanos Macaroni Grill Albany 2,['Italian'],https://s3-media4.fl.yelpcdn.com/bphoto/-f66MOCWpNKbztUoguRYTg/ls.jpg,Romano's Macaroni Grill,113.0,$$,2.5,https://www.yelp.com/biz/romanos-macaroni-grill-albany-2?osq=restaurants
204 Lark St,Daily Grind Albany,"['Coffee & Tea', 'Cafes', 'Sandwiches']",https://s3-media3.fl.yelpcdn.com/bphoto/I1w9GA87OgYXjU_7Hs87SQ/ls.jpg,Daily Grind,141.0,$,3.5,https://www.yelp.com/biz/daily-grind-albany?osq=restaurants
433 State St,Johnnys Schenectady,"['Italian', 'Seafood', 'Sandwiches']",https://s3-media3.fl.yelpcdn.com/bphoto/c_7jrh6XzQyxhIo7FQflUg/ls.jpg,Johnny's,218.0,$$,4.0,https://www.yelp.com/biz/johnnys-schenectady?osq=restaurants
1 Crossgates Mall Rd,World Of Beer Albany,"['American Traditional', 'Pubs']",https://s3-media2.fl.yelpcdn.com/bphoto/LyoFksuAYypyGv71p_xAgQ/ls.jpg,World of Beer,175.0,$$,2.5,https://www.yelp.com/biz/world-of-beer-albany?osq=restaurants
195 Lark St,Noho Pizza Albany,['Pizza'],https://s3-media4.fl.yelpcdn.com/bphoto/om0ggRLiIN9_MMf6nylgcA/ls.jpg,Noho Pizza,70.0,$,3.5,https://www.yelp.com/biz/noho-pizza-albany?osq=restaurants
2019 Western Ave,Western Diner Albany,['Diners'],https://s3-media1.fl.yelpcdn.com/bphoto/BLelE7mgI8X5sk6CGPpiFw/ls.jpg,Western Diner,53.0,$,3.0,https://www.yelp.com/biz/western-diner-albany?osq=restaurants
159 Delaware Ave,Extra Napkin Delmar,"['Salad', 'Barbeque', 'Burgers']",https://s3-media4.fl.yelpcdn.com/bphoto/ZsWh940xTlWS-PCBgpe4VA/ls.jpg,Extra Napkin,49.0,$$,3.5,https://www.yelp.com/biz/extra-napkin-delmar?osq=restaurants
118 4th St,Unagi Sushi Troy,"['Sushi Bars', 'Japanese', 'Asian Fusion']",https://s3-media1.fl.yelpcdn.com/bphoto/43cI8_TFNFSK_2axlBZtNw/ls.jpg,Unagi Sushi,89.0,$$$,4.5,https://www.yelp.com/biz/unagi-sushi-troy?osq=restaurants
15 S Pearl St,Maurices Pearl St Delicatessen Albany,"['Delis', 'Sandwiches', 'Desserts']",https://s3-media3.fl.yelpcdn.com/bphoto/y6dD-OILZQvI_NbMAX2WXw/ls.jpg,Maurice's Pearl St Delicatessen,33.0,$,3.0,https://www.yelp.com/biz/maurices-pearl-st-delicatessen-albany?osq=restaurants
1512 Western Ave,Five Guys Albany 3,"['Burgers', 'Fast Food']",https://s3-media3.fl.yelpcdn.com/bphoto/XbTWUR-54xgESgSxRm8CeQ/ls.jpg,Five Guys,49.0,$,4.0,https://www.yelp.com/biz/five-guys-albany-3?osq=restaurants
1475 Western Ave,Chipotle Mexican Grill Albany,"['Fast Food', 'Mexican']",https://s3-media4.fl.yelpcdn.com/bphoto/wj3Y2R3XWsSTqvLyg-kiFA/ls.jpg,Chipotle Mexican Grill,90.0,$,3.0,https://www.yelp.com/biz/chipotle-mexican-grill-albany?osq=restaurants
795 3rd Ave,Arsenal City Tavern Watervliet,"['Pubs', 'Burgers', 'American New']",https://s3-media1.fl.yelpcdn.com/bphoto/235KOAg-BcD9HskcR8p7iw/ls.jpg,Arsenal City Tavern,26.0,$,4.0,https://www.yelp.com/biz/arsenal-city-tavern-watervliet?osq=restaurants
1736 Rt 9,Samsons Bar And Restaurant Castleton On Hudson,"['Bars', 'American Traditional']",https://s3-media3.fl.yelpcdn.com/bphoto/qg6Bb7W3MCYARGBNroynrw/ls.jpg,Samson's Bar & Restaurant,24.0,$$,4.0,https://www.yelp.com/biz/samsons-bar-and-restaurant-castleton-on-hudson?osq=restaurants
640 New Loudon Rd,Yoshi Sushi Latham,"['Japanese', 'Sushi Bars']",https://s3-media3.fl.yelpcdn.com/bphoto/EpuDBv6X-ZmbTYJkyqn4Lg/ls.jpg,Yoshi Sushi,118.0,$$,4.0,https://www.yelp.com/biz/yoshi-sushi-latham?osq=restaurants
586 New Loudon Rd,Saati Deli And Catering Albany,"['Delis', 'Breakfast & Brunch', 'American Traditional']",https://s3-media2.fl.yelpcdn.com/bphoto/mzJzX0g6lnYJvzYkXU0h1w/ls.jpg,Saati Deli & Catering,55.0,$$,3.0,https://www.yelp.com/biz/saati-deli-and-catering-albany?osq=restaurants
10 Yates St,Daleys On Yates Schenectady,"['American New', 'Cocktail Bars', 'Sandwiches']",https://s3-media4.fl.yelpcdn.com/bphoto/l3785KIluDO9YnR23RAswA/ls.jpg,Daley's on Yates,73.0,,4.0,https://www.yelp.com/biz/daleys-on-yates-schenectady?osq=restaurants
159 Bridge Ave,Tugboat Tavern Cohoes,['American Traditional'],https://s3-media2.fl.yelpcdn.com/bphoto/GbzqXAewpLs_CD44ajxisQ/ls.jpg,Tugboat Tavern,36.0,$$,4.0,https://www.yelp.com/biz/tugboat-tavern-cohoes?osq=restaurants
2209 Central Ave,Bourbon Street Bar And Grill Schenectady,"['American New', 'Bars', 'Karaoke']",https://s3-media3.fl.yelpcdn.com/bphoto/jnID0ps5HJ8hPTZU2RDk7g/ls.jpg,Bourbon Street Bar & Grill,20.0,$,3.5,https://www.yelp.com/biz/bourbon-street-bar-and-grill-schenectady?osq=restaurants
501 Columbia Tpke,Nishiki Sushi Rensselaer,"['Sushi Bars', 'Japanese']",https://s3-media3.fl.yelpcdn.com/bphoto/J-58vHVQAW1KtaHJ6QGnTw/ls.jpg,Nishiki Sushi,59.0,$$,4.5,https://www.yelp.com/biz/nishiki-sushi-rensselaer?osq=restaurants
685 Hoosick Rd,The Plum Blossom Troy,"['Seafood', 'Cantonese']",https://s3-media1.fl.yelpcdn.com/bphoto/dE4HkIbudBTrNcbs1J6IxQ/ls.jpg,The Plum Blossom,147.0,$$,3.5,https://www.yelp.com/biz/the-plum-blossom-troy?osq=restaurants
376 Delaware Ave,Perfect Blend Delmar 2,"['Bakeries', 'Cafes']",https://s3-media2.fl.yelpcdn.com/bphoto/tbmmOpm18UaSdC--LSZRwQ/ls.jpg,Perfect Blend,80.0,$$,3.5,https://www.yelp.com/biz/perfect-blend-delmar-2?osq=restaurants
